SPN Apartment ABAC Bangna,Apartmen-Condo,"JV92+7HP, Bang Bo, Bang Bo District, Samut Prakan 10560",,,,,spn.jpg,https://maps.app.goo.gl/syYk24C5S9zodsU86
Srisuwan Place,Apartmen-Condo,"88 2 Soi Abac, Bang Sao Thong, Bang Sao Thong District, Samut Prakan 10540",,,,,srisuwan.jpeg,https://maps.app.goo.gl/tWKZaa2F55Dgbd4KA
Swift Condo,Apartmen-Condo,"7, Soi Number One Bangna-Trad Road Km. 26, Bang Sao Thong Subdistrict, Bang Sao Thong District Samut Prakan Province, 10542 10540",+66 81 874 8881,,,,swiftcondo.jpg,https://maps.app.goo.gl/iGPKeoAod24JWgjU8
Thavee Chook,Apartmen-Condo,"JR4X+96 Bang Bo, Bang Bo District, Samut Prakan",+66 86 600 8798,,,,thavee.jpg,https://maps.app.goo.gl/cdVo9N8vYDsKvv9V8
The ABAC Riverside Apartment,Apartmen-Condo,"158 Moo 7, Bangna-Trad 26 Road, Bang Bo District, Samut Prakan",+66 87 016 9400,,,,theriver.jpg,https://maps.app.goo.gl/fKravTnSxzEdfKmG9
The Avenue Condo,Apartmen-Condo,"JR3Q+37Q, Soi Mu Ban Bang Na Garden 2, Bang Sao Thong, Bang Sao Thong District, Samut Prakan 10540",+66 87 673 8844,,,,theavenuecondo.JPG,https://maps.app.goo.gl/Gc82m24bFAo7zMdn6
The Hub Apartment ABAC Bangna,Apartmen-Condo,"311,311/1,311/2 Bang Bo, Bang Bo District, Samut Prakan 10560",+66 2 180 0721,,www.thehub-apartment.com/?fbclid=IwAR0B6rBh1Ug827iSNckFJ17rdZDx1BTHQUIOzRgDOy8My12OBTC40fJkU_8,,thehub.jpg,https://maps.app.goo.gl/2qMdvYedKbo4twA17
The Lilly Apartment,Apartmen-Condo,"JV82+WFV 8/11 Bang Bo, Bang Bo District, Samut Prakan 10560",,,,,lilly.jpg,https://maps.app.goo.gl/Q1enA5yuk1rfKtvg7
The Rich ABAC Bangna,Apartmen-Condo,"Bang Bo, Bang Bo District, Samut Prakan 10540",+66 62 875 3463,,,,therich.png,https://maps.app.goo.gl/ZMV3ccjXCEdvMk7q9
The Wind Residence ABAC,Apartmen-Condo,"138 Soi Nawamintrarachinuthit 4, Tambon Bang Bo, Bang Bo District, Samut Prakan 10560",+66 83 123 4542,,,,thewind.jpg,https://maps.app.goo.gl/sn7ZT49Us9E8GS99A
Tonson ABAC Bangna,Apartmen-Condo,"134 Bang Bo, Bang Bo District, Samut Prakan 10560",+66 86 378 9765,,,,tonson.png,https://maps.app.goo.gl/M4eYSeRu9h5yYzLbA
Vanda Residence (ABAC - BANGNA),Apartmen-Condo,"JR7X+5M Bang Bo, Bang Bo District, Samut Prakan",+66 2 707 2244,,,,vanda.jpg,https://maps.app.goo.gl/WjMNLKwFKHL8eCTs9
Viewpoint Complex,Apartmen-Condo,"JR5W+GM Bang Bo, Bang Bo District, Samut Prakan",+66 2 181 8195,,,,viewpoint.png,https://maps.app.goo.gl/XPD3FdGWahvwU8P6A
Viia7 Condo,Apartmen-Condo,"Bang Sao Thong, Bang Sao Thong District, Samut Prakan 10540",,,,,viia7.jpg,https://maps.app.goo.gl/hZMDX9g1NRVDyD6G9
Bite Me A Bit,Bakery,Soi ABAC Bangna Uni,,@bitemeabit,,www.instagram.com/bitemeabit,bitemeabit.jpg,
Chocolate Lava Shop,Bakery,,+66 65 145 4996,@bakingsweetsabac,www.facebook.com/bakingsweetsabac,www.instagram.com/chocolatelavashop,chocolatelavashop.jpg,
Lamul Coffee House,Bakery,,,@lamulcoffeehouse,,www.instagram.com/lamulcoffeehouse,lamulcoffeehouse.jpg,
LindaLand Bakery ABAC,Bakery,,,@lindalandabac,,www.instagram.com/lindaland_bakery_abac,lindaland_bakery_abac.jpg,
Perfecto Cafeth,Bakery,"Inter View ABAC, Bang Bo",,,,www.instagram.com/perfectocafeth,perfectocafeth.jpg,
The Mix Bakery ABAC,Bakery,,,,www.facebook.com/profile.php?id=100054647235843&mibextid=YMEMSu,www.instagram.com/the_mix_bakery.abac,the_mix_bakery.abac.jpg,
White Studio ABAC,Bakery,"Nawa soi 1, ABAC ,Bang Bo, Samut Prakan",,,www.facebook.com/people/White-Studio/61555060197075/?mibextid=LQQJ4d,www.instagram.com/whitestudio_abac,whitestudio_abac.jpg,
Color Chic ABAC,Beauty,Near Interview,+66 63 308 5777,,,www.instagram.com/color_chic_abac,color_chic_abac.jpg,
Color Hair Station,Beauty,The Rich ABAC,+66 92 842 9824,,,www.instagram.com/colorhair.station,colorhair.station.jpg,
Fairy NailHouse,Beauty,D Condo,,,,www.instagram.com/fairy.nailhouse_abac,fairy.nailhouse_abac.jpg,
Nails by White Studio ABAC,Beauty,The Porch ABAC,,,,www.instagram.com/nails_by_whitestudio_abac,nails_by_whitestudio_abac.jpg,
Prettiness Nail,Beauty,D Condo,,,,www.instagram.com/prettinessnail,prettinessnail.jpg,
Rantamleb ABAC,Beauty,"Lakepoint, ABAC Bangna",,,,www.instagram.com/rantamleb.abac,rantamleb.abac.jpg,
Orcaz Oreoz,Cafe,,,,,www.instagram.com/orcaz_oreoz,orcaz_oreoz.jpg,
Smoody Fresh Fruit,Cafe,,,,,www.instagram.com/smoody_freshfruit,smoody_freshfruit.jpg,
24K cafeteria,Cafe,"300 บางบ่อ 9, Tambon Bang Bo, Bang Bo District, Samut Prakan 10560",+66 65 718 9692,,https://www.instagram.com/24kcafeteria/,,,https://maps.app.goo.gl/1gf9KWJeYpv2r2F3A
Anaconda Coffee,Cafe,"80 Soi Abac, Bang Sao Thong, Bang Sao Thong District, Samut Prakan 10540, Thailand",+66 98 692 0024,,--,,,https://maps.app.goo.gl/5vLRXwDcC8LHDLXd9
Anyamanee Cafe and Roastery,Cafe,"163, Bangsaothong, Tambon Bang Sao Thong, Bangsaothong, Samut Prakan 10570, Thailand",+66 95 976 4544,,https://www.facebook.com/lemonestth?mibextid=dGKdO6,,,https://maps.app.goo.gl/tdi5jSFUwwY8SgSXA
Café Amazon,Cafe,"JR7X+R3M 5 Bang Bo, Bang Bo District, Samut Prakan 10560",+66 65 472 8247,,https://www.cafe-amazon.com/index.aspx,,,https://maps.app.goo.gl/hqiTWcJmaeDwYrky6
Coffee Corner,Cafe,"79 59, Bang Sao Thong, Bang Sao Thong District, Samut Prakan 10540, Thailand",+66 89 024 7800,,--,,,https://maps.app.goo.gl/5tXcgi24WtWi8gAWA
Fresh Me ABAC - Bubble Tea (เฟรชมี สาขา ABAC บางนา),Cafe,Assumption University Suvarnabhumi Campus,+66 89 764 6698,,,,,https://maps.app.goo.gl/7VFTvQgPVjcpdwKA6
Green Heart Coffee Shop,Cafe,"299 บางเสาธง Tambon Bang Sao Thong, Bang Sao Thong District, Samut Prakan 10560, Thailand",+66 95 946 1959,,--,,,https://maps.app.goo.gl/5g6gjLhAkF2Zgc7S9
Hi-P Coffee House,Cafe,"Bang Sao Thong, Bang Sao Thong District, Samut Prakan 10540, Thailand",+66 82 492 8929,,--,,,https://maps.app.goo.gl/wuhJGutAZAL8DhJa7
K.coffee,Cafe,"JR7V+P7C Unnamed Road Bang Bo, Bang Bo District, Samut Prakan 10540",+66 83 004 3343,,,,,https://maps.app.goo.gl/SwkkLExaZ9kemMSu8
KAMU KAMU (คามุ คามุ สาขาเอแบคบางนา),Cafe,Assumption University Suvarnabhumi Campus,+66 92 131 3077,,https://www.kamutea.com/,,,https://maps.app.goo.gl/63hmm32vMGUj1Y5n8
Lee orange juice,Cafe,"88 Debaratna Rd, Bang Sao Thong, Bang Sao Thong District, Samut Prakan 10540, Thailand",+66 82 257 7731,,--,,,https://maps.app.goo.gl/nhZ6ZKdpq8pFcfoN9
Luckin Coffee - ABAC Bangna,Cafe,Assumption University Suvarnabhumi Campus,+66 94 567 7773,,,,,https://maps.app.goo.gl/vLVkYn35TxcFBsn5A
M&M Café by P’Mam,Cafe,"เลขที่ 29 /1-2 วิวพ้อยส์คอมเพล็ค หมู่ 10 Bang Bo District, Samut Prakan 10560",+66 89 965 8079,,,,,https://maps.app.goo.gl/GsK6JKbL8Vj211Rc9
MAENOM Milk&Bread @The porch ABAC,Cafe,"265 บางบ่อ The porch Abac Bang Bo District, Samut Prakan 10560",+66 84 663 6199,,,,,https://maps.app.goo.gl/vkoHYd6uKuA4mjadA
Ochaya สาขา ABAC บางนา,Cafe,"Soi Abac, Bang Bo, Bang Bo District, Chang Wat Samut Prakan 10560",+66 98 919 9887,,,,,https://maps.app.goo.gl/S5fJTZRfLzLG7a9u7
Puth Homemade&cooking,Cafe,"JR3X+62V, Bang Bo, Bang Bo District, Samut Prakan 10560",,,https://www.facebook.com/Puthhomemadecooking-104254142060171/,,,https://maps.app.goo.gl/UnsymkNxvuGU5obV8
S&P,Cafe,Assumption University Suvarnabhumi Campus,+66 2 635 5566,,https://www.snpfood.com/th/home,,,https://maps.app.goo.gl/9nFRFUEtJoqGh3Si8
TrueCoffee,Cafe,Assumption University Suvarnabhumi Campus,+66 82 082 3437,,,,,https://maps.app.goo.gl/6xnRHLV4btSRCZHW7
TYME Cafe and Bistro,Cafe,"ซอย, Bang Sao Thong, Bang Sao Thong District, Samut Prakan 10540",+66 2 705 5959,,https://www.facebook.com/profile.php?id=61564900743611,,,https://maps.app.goo.gl/JxCxTMimZ2frehwp7
ยอดชา Chiang Mai (ABAC Bangna),Cafe,Assumption University Suvarnabhumi Campus,,,http://yodchabrand.com/,,,https://maps.app.goo.gl/55N3MVqQ3egUc6497
ร้าน Toast Cup &ไอศกรีมมหาชัย,Cafe,"JR7X+P66 7 Bang Bo, Bang Bo District, Samut Prakan 10560",+66 63 412 5868,,,,,https://maps.app.goo.gl/ivtJ2Bkb1aYMcAW66
หมีพ่นไฟ เอแบคบางนา The fire bear,Cafe,"ตลาดหัวมุม เอแบค Tambon Bang Bo, Bang Bo District, Samut Prakan 10560",+66 80 152 3940,,,,,https://maps.app.goo.gl/G1tgFKEm8C6Kjejs6
ABAC Kebab Cheese,Restaurant,,,,,www.instagram.com/abac_kebabcheese,abac_kebabcheese.jpg,
ABAC Lengzabb,Restaurant,,+66 95 275 8985,@abaclengzab,,www.instagram.com/abac_lengzabb,abac_lengzabb.jpg,
Annann ABAC,Restaurant,,+66 81 006 7320,,,www.instagram.com/annann_abac,annann_abac.jpg,
Bann Look Moo Homemade ABAC,Restaurant,,,,,www.instagram.com/bannlookmoohomemade_abac,bannlookmoohomemade_abac.jpg,
Biryani ABAC,Restaurant,,,@biryani_abac,www.facebook.com/biryani.abac?mibextid=LQQJ4d,www.instagram.com/biryani__abac,biryani__abac.jpg,
Burma Bites,Restaurant,,,,,www.instagram.com/burma_bites.abac,bitemeabit.jpg,
Chickenpop ABAC Bangna,Restaurant,,,,,www.instagram.com/chickenpop_abac_bangna,chickenpop_abac_bangna.jpg,
Chinuenim ABAC,Restaurant,,+66 88 962 9622,@chinuenim,,www.instagram.com/chinuenim_abac,chinuenim_abac.jpg,
Goood Jooot ABAC,Restaurant,,+66 61 675 5227,@goodjood2024,,www.instagram.com/goood_jooot_abac,goood_jooot_abac.jpg,
Guimei ABAC,Restaurant,D Condo,,,,www.instagram.com/guimei.abac,guimei.abac.jpg,
Jardin Happiness Hotpot,Restaurant,Near D Condo,,,,www.instagram.com/jardinhappinesshotpot,jardinhappinesshotpot.jpg,
Jubang Box,Restaurant,Swift Condo,,@jubangbox,,www.instagram.com/jubangbox,jubangbox.jpg,
Klean Food ABAC,Restaurant,,,,,www.instagram.com/kleanfood_abac,kleanfood_abac.jpg,
Kook Pi Ya Sak,Restaurant,Near Interview,+66 99 184 7878,,,www.instagram.com/kookpiyasak,kookpiyasak.jpg,
Lake Space Bar,Restaurant,,+66 99 492 3427,,,www.instagram.com/lakespace.bar,lakespace.bar.jpg,
Landmark ABAC,Restaurant,The Grand Parazo,,,,www.instagram.com/landmark_abac,landmark_abac.jpg,
Mamapad ABAC,Restaurant,In front of 7-11 near THE RICH ABAC,,,,www.instagram.com/mamapad.abac,mamapad.abac.jpg,
Moo Moo ABAC,Restaurant,Near Interview,+66 98 283 3315,@moomoo_2019,,www.instagram.com/moomoo_abac,moomoo_abac.jpg,
Namaste ABAC,Restaurant,"Old Thai Smile, near dcondo, soi Abac",,,,www.instagram.com/namaste_abac,namaste_abac.jpg,
Onechai Thai BBQ,Restaurant,,+66 82 936 3942,,,www.instagram.com/onechaithaibbq_abacbangna,onechaithaibbq_abacbangna.jpg,
Pine ABAC,Restaurant,,+66 90 972 1605,,,www.instagram.com/pine.abac,pine.abac.jpg,
Platii Salmon,Restaurant,,+66 94 682 5826,@platii.salmon,,www.instagram.com/platii.salmon,platii.salmon.jpg,
Steak3cha ABAC,Restaurant,,+66 92 479 4249,,,www.instagram.com/steak3cha_abac,steak3cha_abac.jpg,
Tampopo Ramen,Restaurant,,+66 97 997 9592,,,www.instagram.com/tampopo.ramenn,tampopo.ramenn.jpg,
TeaTime ABAC,Restaurant,,,,,www.instagram.com/teatime_abac,teatime_abac.jpg,
The Farm Tea Bar,Restaurant,Near Interview,+66 62 873 2674,,www.facebook.com/profile.php?id=61560069132240&mibextid=LQQJ4d,www.instagram.com/thefarm_tea_bar,thefarm_tea_bar.jpg,
Yumgoon ABAC,Restaurant,,+66 96 919 8267,,www.facebook.com/people/Yumgoon-Abac-Bangna/61553269212395/?mibextid=LQQJ4d,www.instagram.com/yumgoon.abac,yumgoon.abac.jpg,
Yummy Sausage Abac,Restaurant,"Soi Nawamintrarachinuthit 1, Bang Bo, Bang Bo District, Samut Prakan 10540(In front of The Rich)",,,,www.instagram.com/yummy_sausage_abac,yummy_sausage_abac.jpg,
@Taiwan,Restaurant,AU Mall,+66 89 886 9945,,,,,https://maps.app.goo.gl/hC7DDUYocPKqi6kF6
100ล้านนัว เอแบค,Restaurant,"JR2Q+6H5, Bang Sao Thong, Bang Sao Thong District, Samut Prakan 10540",+66 95 251 6607,,,,,https://maps.app.goo.gl/L3Mbgt35dws7T7cP8
Abac_jj_freshsalmon,Restaurant,"บางบ่อ 192/5 Bang Bo District, Samut Prakan 10560",+66 99 003 5529,,,,,https://maps.app.goo.gl/n8pwjPdQSJEJCTm5A
Chinuenim Korean Chicken,Restaurant,"294 moo4, Bang Bo District, Samut Prakan 10560, Thailand",+66 88 962 9622,,http://www.chinuenim.com/,,,https://maps.app.goo.gl/eFRvdGxExUjHMDVn6
Crystal Restaurant,Restaurant,Near John XXIII Conference Center,+66 93 556 5946,,,,,https://maps.app.goo.gl/MiXp57xn553ZXVvp7
DaWanXian (Mala MaoCai) - Abac Bangna,Restaurant,"บางบ่อ ซอย มิตรภาพ อำเภอบางพลี, Bang Bo District, Samut Prakan 10560",+66 65 989 7298,,,,,https://maps.app.goo.gl/9QZFb9qy4AkRat7z7
Delonix Garden Music Restaurant,Restaurant,"JR8W+2QX, Soi Nawamintrarachinuthit 3, Bang Bo, Bang Bo District, Samut Prakan 10560",,,,,,https://maps.app.goo.gl/bFzujJdnyVVyxdQZ8
DJ Poom Menu ABAC,Restaurant,"200 Soi Abac, Bang Sao Thong, Bang Sao Thong District, Samut Prakan 10540, Thailand",+66 90 009 4666,,https://www.facebook.com/djpoommenuabacc/,,,https://maps.app.goo.gl/a78GkXRys1AcPdkQ8
Gangnam BingSu,Restaurant,"JR5W+CQ Bang Bo, Bang Bo District, Samut Prakan",+66 81 402 3345,,,,,https://maps.app.goo.gl/kRX659PNKXHsXptv8
Happy street foods 快樂泰國街頭小吃 แฮปปี้สตรีทฟู้ดส์,Restaurant,"132 Bang Sao Thong, Bang Sao Thong District, Samut Prakan 10570",+66 96 361 6694,,,,,https://maps.app.goo.gl/cUCVSoLpJAAPAa4u9
Jippy House Restaurant,Restaurant,AU Mall,+66 89 799 5292,,,,,https://maps.app.goo.gl/KPkbTeqpEAFqHZiC8
LEK HOUSE cafe & restaurant,Restaurant,"68 8, Bang Bo, Bang Bo District, Samut Prakan 10560",+66 84 120 2303,,https://www.facebook.com/lekhousecafe,,,https://maps.app.goo.gl/5iyEwx5Ft58UZzUb7
Little Big House,Restaurant,"80/2-4 ซอย หมู่บ้านปัญญานคร 3 Tambon Bang Sao Thong, Bang Sao Thong District, Samut Prakan 10570, Thailand",+66 2 043 3587,,https://pantip.com/topic/38038256,,,https://maps.app.goo.gl/2i53iwBqgKqPyUZF6
Luknam Restaurant,Restaurant,"HRRJ+VGF, Bang Sao Thong, Bang Sao Thong District, Samut Prakan 10540, Thailand",+66 81 494 1270,,,,,https://maps.app.goo.gl/2F9fbCEcBAozVw4XA
Mae Bang,Restaurant,"88 9, Bang Sao Thong, Bang Sao Thong District, Samut Prakan 10540, Thailand",+66 85 989 2201,,,,,https://maps.app.goo.gl/c7jwY9CFt2YP1V9s8
MK Viewpoint Branch (ABAC Bangna),Restaurant,"JR5W+JRJ, Bang Bo, Bang Bo District, Samut Prakan 10560",+66 83 099 6333,,http://www.mkrestaurant.com/,,,https://maps.app.goo.gl/Xb2Rwyji4KDubZXq6
Mommy's Kitchen,Restaurant,AU Mall,,,,,,
Mr. Park B.B.Q. ABAC,Restaurant,"Soi Mu Ban Bang Na Garden 12, Bang Sao Thong, Bang Sao Thong District, Samut Prakan 10540",+66 63 893 1686,,https://www.facebook.com/Mr-PARK-BBQ-Abac-466645023863674/,,,https://maps.app.goo.gl/k1xuGV1hs1NuUNTn8
Oppa Jun ABAC,Restaurant,Assumption University Suvarnabhumi Campus,+66 61 163 5611,,,,,https://maps.app.goo.gl/ZSsowNo37Q22A9Kn9
SHABU CHO BUFFET,Restaurant,"36 1, Bang Sao Thong, Bang Sao Thong District, Samut Prakan 10540, Thailand",+66 96 654 6498,,,,,https://maps.app.goo.gl/mRqkSjuVqZphc4Vi7
Tai Yai - ABAC,Restaurant,AU Mall,,,,,,
Tenzai Sushi @ซอยเอแบคบางนา,Restaurant,"88 9 ถนน บางนาการ์เด้น Tambon Bang Sao Thong, Bang Sao Thong District, Samut Prakan 10570, Thailand",+66 62 475 5599,,https://www.facebook.com/10zaisushi,,,https://maps.app.goo.gl/oZXzGT44qpZCrHo67
The Best Restaurant,Restaurant,"JV42+R5Q, Bang Bo, Bang Bo District, Samut Prakan 10560",+66 62 834 3480,,https://www.wongnai.com/restaurants/363117MN-%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B9%80%E0%B8%94%E0%B8%AD%E0%B8%B0%E0%B9%80%E0%B8%9A%E0%B8%AA,,,https://maps.app.goo.gl/ZXzsRNKL5wEpbGi67
Yayoi,Restaurant,"Viewpoint Complex อาคาร 52 ห้องเลขที่ 52 E เลขที่ 29/2 ถนน บางนา-ตราด กม.26 Bang Bo, Bang Bo District, Samut Prakan",+66 83 099 6869,,https://yayoirestaurants.com/,,,https://maps.app.goo.gl/ai2pKhui3HEH1MydA
ZHONG ZHONG MIAN bangna,Restaurant,"95/2 บางนาตราด กม.26, ซ.2, Bang Sao Thong District, Samut Prakan 10540, Thailand",+66 98 851 5855,,,,,https://maps.app.goo.gl/sKjbzz6EADs2Rt9U9
ก๋วยเตี๋ยวไก่ริมคลอง(ABAC),Restaurant,"JV42+459, Bang Sao Thong, Bang Sao Thong District, Samut Prakan 10560",,,,,,https://maps.app.goo.gl/gPzEPix3EpotUxJE7
ก๋วยเตี๋ยวคุณเบญ เย็นตาโฟต้มยำรสเด็ด  ตรงข้ามกรมที่ดินฯ สมุทรปราการ,Restaurant,"79/45 บางเสาธง Bang Sao Thong District, Samut Prakan 10540, Thailand",+66 96 649 6226,,https://m.facebook.com/Benyaphaluckynoodle/,,,https://maps.app.goo.gl/faGmiyhGqus39zXA9
ก๋วยเตี๋ยวเรือ คน8ริ้ว สาขา2 ABAC BANGNA,Restaurant,"199 Soi Nawamintrarachinuthit 2, Bang Bo, Bang Bo District, Samut Prakan 10560",+66 82 210 6313,,,,,https://maps.app.goo.gl/dZS8N6t87pCKGNnx9
ก๋วยเตี๋ยวเรือถูกปาก สาขาบางบ่อ,Restaurant,"JV42+838, Bang Bo, Bang Bo District, Samut Prakan 10560",+66 94 769 6955,,,,,https://maps.app.goo.gl/E2ofJMzhJiDY3JN19
